序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
892,01058,南粤控股,0.5,0.0,0.0,0.5,0.5,0.5,0.5,4000.0,2000.0
893,00213,NATIONAL ELEC H,0.375,0.0,0.0,0.375,0.375,0.375,0.375,0.0,
894,01073,大禹金融,0.125,0.0,0.0,0.125,0.125,0.125,0.125,6000.0,745.0
895,09938,华和控股,0.114,0.0,0.0,0.114,0.114,0.114,0.114,275000.0,31350.0
896,01080,胜利管道,0.089,0.0,0.0,0.086,0.089,0.086,0.089,271500.0,23647.0
897,00212,NANYANG HOLD,30.0,0.0,0.0,30.0,30.0,30.0,30.0,0.0,
898,00206,华商能源,0.27,0.0,0.0,0.27,0.275,0.27,0.27,714000.0,192850.0
899,01090,大明国际,0.9,0.0,0.0,0.89,0.9,0.89,0.9,68000.0,60740.0
900,09929,澳达控股,0.067,0.0,0.0,0.067,0.067,0.067,0.067,0.0,
901,08137,洪桥集团,0.5,0.0,0.0,0.5,0.51,0.49,0.5,1670000.0,828880.0
902,02608,阳光100中国,0.012,0.0,0.0,0.011,0.012,0.011,0.012,3501000.0,38663.0
903,00954,常茂生物,0.31,0.0,0.0,0.31,0.31,0.31,0.31,0.0,
904,00248,香港通讯国际控股,0.04,0.0,0.0,0.04,0.04,0.039,0.04,0.0,
905,00247,TST PROPERTIES,20.5,0.0,0.0,20.5,20.5,20.5,20.5,0.0,
906,00948,阿尔法企业-二万,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.0,
907,08013,ECI TECH,0.06,0.0,0.0,0.06,0.06,0.059,0.06,0.0,
908,08007,环球战略集团,0.26,0.0,0.0,0.26,0.26,0.25,0.26,10277.0,2565.0
909,08006,华泰瑞银,0.107,0.0,0.0,0.107,0.107,0.107,0.107,0.0,
910,00240,利基控股,1.35,0.0,0.0,1.37,1.37,1.35,1.35,340000.0,461900.0
911,08003,世大控股,0.127,0.0,0.0,0.127,0.127,0.127,0.127,0.0,
912,00953,邵氏兄弟控股,0.315,0.0,0.0,0.31,0.32,0.31,0.315,2136000.0,673020.0
913,00974,中国顺客隆,1.28,0.0,0.0,1.28,1.28,1.28,1.28,82000.0,104960.0
914,00224,建生国际,0.64,0.0,0.0,0.64,0.64,0.64,0.64,0.0,
915,00983,瑞安建业,0.385,0.0,0.0,0.385,0.385,0.385,0.385,0.0,
916,07747,XL二南三星,23.2,0.0,0.0,23.2,24.76,22.88,23.2,595100.0,13975536.0
917,00989,中国长白山国际,0.81,0.0,0.0,0.84,0.86,0.79,0.81,460600.0,383313.0
918,09906,宏力医疗管理,1.65,0.0,0.0,1.65,1.65,1.65,1.65,0.0,
919,00236,香港生力啤,1.25,0.0,0.0,1.25,1.25,1.24,1.25,0.0,
920,09913,智勤控股,2.42,0.0,0.0,2.4,2.42,2.4,2.42,152000.0,367400.0
921,00229,利民实业,0.94,0.0,0.0,0.94,0.94,0.94,0.94,0.0,
922,00228,中能控股,0.033,0.0,0.0,0.033,0.034,0.033,0.033,13486000.0,446932.0
923,00225,博富临置业,6.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,
924,01102,环能国际,0.049,0.0,0.0,0.048,0.049,0.048,0.049,615750.0,29555.0
925,06893,衍生集团,0.194,0.0,0.0,0.194,0.194,0.194,0.194,2000.0,388.0
926,08021,汇隆控股,0.019,0.0,0.0,0.02,0.02,0.019,0.019,3160000.0,60100.0
927,06890,康利国际控股,0.4,0.0,0.0,0.4,0.4,0.4,0.4,0.0,
928,01203,广南(集团),0.88,0.0,0.0,0.88,0.89,0.84,0.88,736000.0,628220.0
929,00193,冠中地产,0.205,0.0,0.0,0.2,0.205,0.2,0.205,6375.0,1267.0
930,01204,博维智慧,1.7,0.0,0.0,1.7,1.7,1.7,1.7,0.0,
931,01206,同方泰德,0.41,0.0,0.0,0.39,0.41,0.385,0.41,58000.0,22930.0
932,01213,万保刚集团,0.375,0.0,0.0,0.375,0.375,0.375,0.375,0.0,
933,01215,开源控股,0.026,0.0,0.0,0.025,0.026,0.024,0.026,1660000.0,41300.0
934,01217,中国创新投资,0.015,0.0,0.0,0.014,0.015,0.014,0.015,20147546.0,283583.0
935,06686,诺亚控股,18.64,0.0,0.0,18.64,18.64,18.64,18.64,0.0,
936,01218,永义国际,2.91,0.0,0.0,2.91,2.91,2.91,2.91,0.0,
937,01222,WANG ON GROUP,0.028,0.0,0.0,0.028,0.028,0.028,0.028,7560.0,175.0
938,01224,中渝置地,1.2,0.0,0.0,1.2,1.2,1.2,1.2,1000.0,1200.0
939,00191,丽新国际,0.58,0.0,0.0,0.58,0.58,0.58,0.58,0.0,
940,01226,中国投融资,0.83,0.0,0.0,0.83,0.83,0.83,0.83,20000.0,16600.0
941,01229,南南资源,0.26,0.0,0.0,0.26,0.27,0.255,0.26,1832000.0,479780.0
942,00186,敏捷控股,0.18,0.0,0.0,0.18,0.18,0.18,0.18,0.0,
943,06661,湖州燃气,5.1,0.0,0.0,5.1,5.1,5.1,5.1,0.0,
944,01235,专业旅运,0.178,0.0,0.0,0.178,0.178,0.178,0.178,0.0,
945,01237,中科生物,0.9,0.0,0.0,0.9,0.9,0.9,0.9,10122.0,9101.0
946,01240,青建国际,0.194,0.0,0.0,0.194,0.194,0.194,0.194,0.0,
947,06638,金融壹账通,1.95,0.0,0.0,1.95,1.96,1.94,1.95,369500.0,719545.0
948,01241,双桦控股,0.219,0.0,0.0,0.219,0.219,0.219,0.219,0.0,
949,01195,京维集团,0.024,0.0,0.0,0.024,0.026,0.024,0.024,204000.0,5208.0
950,06812,永顺控股香港,0.181,0.0,0.0,0.181,0.181,0.181,0.181,0.0,
951,06816,瑞港建设,0.21,0.0,0.0,0.21,0.21,0.21,0.21,0.0,
952,01143,中国储能科技发展,0.405,0.0,0.0,0.405,0.405,0.405,0.405,32200.0,13035.0
953,00197,亨泰,0.49,0.0,0.0,0.485,0.495,0.45,0.49,310000.0,144125.0
954,01110,金活医药集团,0.495,0.0,0.0,0.495,0.495,0.48,0.495,1192000.0,585340.0
955,01120,雅视光学,0.86,0.0,0.0,0.86,0.86,0.86,0.86,0.0,
956,01123,中港照相,0.124,0.0,0.0,0.124,0.124,0.124,0.124,12000.0,1488.0
957,01125,丽丰控股,0.97,0.0,0.0,0.97,0.97,0.97,0.97,0.0,
958,01132,橙天嘉禾,0.075,0.0,0.0,0.071,0.075,0.071,0.075,55000.0,3925.0
959,06868,天福,3.0,0.0,0.0,3.02,3.02,3.0,3.0,3000.0,9040.0
960,01134,恒发光学,0.184,0.0,0.0,0.184,0.184,0.183,0.184,0.0,
961,01137,香港科技探索,1.45,0.0,0.0,1.45,1.45,1.41,1.45,1368000.0,1954930.0
962,01150,米兰站,0.246,0.0,0.0,0.255,0.255,0.24,0.246,1808750.0,449341.0
963,01183,澳能建设,0.15,0.0,0.0,0.143,0.15,0.143,0.15,515250.0,74185.0
964,01153,佳源服务,0.495,0.0,0.0,0.495,0.495,0.47,0.495,31000.0,15095.0
965,06838,盈利时,0.265,0.0,0.0,0.26,0.265,0.26,0.265,12000.0,3130.0
966,06833,兴科蓉医药,0.19,0.0,0.0,0.19,0.19,0.19,0.19,0.0,
967,01160,金石资本集团,0.42,0.0,0.0,0.42,0.42,0.42,0.42,0.0,
968,01161,奥思集团,0.9,0.0,0.0,0.9,0.9,0.9,0.9,42000.0,37800.0
969,01162,莹岚集团,0.229,0.0,0.0,0.223,0.23,0.22,0.229,2784000.0,620808.0
970,01165,顺风清洁能源,0.023,0.0,0.0,0.023,0.024,0.022,0.023,19152000.0,442590.0
971,01176,珠光控股,0.058,0.0,0.0,0.058,0.059,0.057,0.058,998000.0,58026.0
972,01182,胜龙国际,0.52,0.0,0.0,0.52,0.52,0.5,0.52,47000.0,24240.0
973,08020,宏海控股集团,0.023,0.0,0.0,0.023,0.023,0.022,0.023,0.0,
974,09928,时代邻里,0.53,0.0,0.0,0.52,0.53,0.52,0.53,2969153.0,1551984.0
975,02116,江苏创新,0.455,0.0,0.0,0.455,0.455,0.455,0.455,0.0,
976,00312,岁宝百货,0.093,0.0,0.0,0.093,0.094,0.093,0.093,0.0,
977,08027,吉辉控股,0.129,0.0,0.0,0.129,0.129,0.129,0.129,0.0,
978,00271,亚证地产,0.198,0.0,0.0,0.198,0.198,0.198,0.198,0.0,
979,00270,粤海投资,7.22,0.0,0.0,7.14,7.33,7.12,7.22,12615147.0,91210232.0
980,08120,国农金融投资,0.47,0.0,0.0,0.47,0.47,0.47,0.47,1000000.0,495000.0
981,00269,中国资源交通,0.01,0.0,0.0,0.01,0.01,0.01,0.01,125000.0,1250.0
982,00864,永利地产发展,0.135,0.0,0.0,0.135,0.135,0.135,0.135,20000.0,2700.0
983,08060,国联通信,0.099,0.0,0.0,0.098,0.099,0.098,0.099,300000.0,29680.0
984,00860,APOLLO出行,0.61,0.0,0.0,0.61,0.64,0.6,0.61,170600.0,105568.0
985,08123,华亿金控,0.01,0.0,0.0,0.01,0.01,0.01,0.01,1380000.0,13800.0
986,00262,迪臣发展国际,0.07,0.0,0.0,0.07,0.07,0.07,0.07,0.0,
987,00923,综合环保集团,0.022,0.0,0.0,0.021,0.022,0.02,0.022,1180000.0,24884.0
988,08056,生活概念,0.219,0.0,0.0,0.219,0.219,0.21,0.219,0.0,
989,08052,陆庆娱乐,0.056,0.0,0.0,0.056,0.056,0.056,0.056,20000.0,1120.0
990,08051,讯智海,2.95,0.0,0.0,2.95,2.95,2.95,2.95,0.0,
991,00926,碧生源,2.6,0.0,0.0,2.6,2.6,2.6,2.6,0.0,
992,08070,侨洋国际控股,0.58,0.0,0.0,0.58,0.58,0.58,0.58,65000.0,37700.0
993,08072,罗马元宇宙集团,0.295,0.0,0.0,0.295,0.295,0.295,0.295,0.0,
994,00859,中昌国际控股,0.103,0.0,0.0,0.103,0.103,0.103,0.103,0.0,
995,08073,水发兴业新材料,0.27,0.0,0.0,0.27,0.27,0.27,0.27,0.0,
996,00865,建德国际控股,0.039,0.0,0.0,0.039,0.039,0.039,0.039,0.0,
997,08100,名科国际,0.265,0.0,0.0,0.265,0.265,0.265,0.265,0.0,
998,00871,中国疏浚环保,0.061,0.0,0.0,0.061,0.061,0.061,0.061,0.0,
999,08096,赏之味,0.156,0.0,0.0,0.156,0.156,0.156,0.156,0.0,
1000,00295,江山控股,0.018,0.0,0.0,0.018,0.019,0.017,0.018,3950000.0,70950.0
1001,00294,长江制衣,0.86,0.0,0.0,0.86,0.86,0.86,0.86,0.0,
1002,08092,ITE HOLDINGS,0.034,0.0,0.0,0.034,0.034,0.033,0.034,28000.0,948.0
1003,08113,时腾科技,0.385,0.0,0.0,0.385,0.385,0.385,0.385,0.0,
1004,08091,奥传思维控股,0.041,0.0,0.0,0.041,0.041,0.041,0.041,0.0,
1005,00888,贝森金融,0.088,0.0,0.0,0.088,0.088,0.088,0.088,352000.0,30976.0
1006,00889,连达科技控股,0.36,0.0,0.0,0.36,0.36,0.36,0.36,40000.0,14400.0
1007,00896,兴胜创建,0.26,0.0,0.0,0.248,0.26,0.248,0.26,8835.0,2198.0
1008,08115,上海青浦消防,4.8,0.0,0.0,4.8,4.8,4.8,4.8,0.0,
1009,00277,太兴置业,1.41,0.0,0.0,1.41,1.41,1.41,1.41,0.0,
1010,00898,万事昌国际,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,
1011,00927,富士高实业,0.69,0.0,0.0,0.71,0.71,0.69,0.69,4000.0,2800.0
1012,08065,高萌科技,0.119,0.0,0.0,0.119,0.119,0.119,0.119,0.0,
1013,00862,远见控股,0.043,0.0,0.0,0.043,0.043,0.043,0.043,10000.0,430.0
1014,08132,百能国际能源,0.081,0.0,0.0,0.081,0.081,0.081,0.081,320000.0,25920.0
1015,00252,华信地产财务,1.6,0.0,0.0,1.6,1.6,1.6,1.6,0.0,
1016,00253,顺豪控股,0.58,0.0,0.0,0.58,0.58,0.58,0.58,0.0,
1017,08136,英马斯集团,0.039,0.0,0.0,0.039,0.039,0.038,0.039,120000.0,4670.0
1018,08133,吉盛集团控股,0.39,0.0,0.0,0.39,0.39,0.39,0.39,0.0,
1019,00939,建设银行,7.62,0.0,0.0,7.63,7.72,7.59,7.62,380304048.0,2904834272.0
1020,08033,爱达利网络,0.133,0.0,0.0,0.133,0.133,0.133,0.133,0.0,
1021,08035,骏高控股,0.062,0.0,0.0,0.064,0.064,0.06,0.062,630000.0,38660.0
1022,08036,电子交易集团,0.033,0.0,0.0,0.033,0.033,0.033,0.033,0.0,
1023,00938,民生国际,0.63,0.0,0.0,0.63,0.63,0.61,0.63,0.0,
1024,00254,国家联合资源,0.315,0.0,0.0,0.315,0.315,0.315,0.315,0.0,
1025,09829,安硕中国国债-U,7.635,0.0,0.0,7.635,7.64,7.635,7.635,0.0,
1026,00255,龙记集团,1.8,0.0,0.0,1.78,1.8,1.78,1.8,22000.0,39480.0
1027,03077,PP美国库,3928.1,-1.3,-0.03,3928.1,3928.1,3928.1,3929.4,0.0,
1028,09096,A南方美元-U,119.9,-0.05,-0.04,119.95,119.95,119.9,119.95,1935.0,232008.0
1029,03184,GX印度精选十强,53.76,-0.02,-0.04,53.76,53.76,53.76,53.78,100.0,5376.0
1030,03196,A博时美元,8690.75,-3.7,-0.04,8694.45,8694.45,8690.75,8694.45,0.0,
1031,03011,A工银中金美,9362.3,-4.7,-0.05,9372.3,9377.6,9357.0,9367.0,85.0,795699.0
1032,03156,博时20美债,810.0,-0.4,-0.05,816.2,816.2,810.0,810.4,1880.0,1529352.0
1033,02829,安硕中国国债,59.36,-0.04,-0.07,59.4,59.4,59.36,59.4,3170.0,188297.0
1034,83196,A博时美元-R,7969.15,-6.0,-0.08,7975.15,7975.15,7969.15,7975.15,0.0,
1035,03410,恒生日本东证一百,5.945,-0.005,-0.08,5.995,5.995,5.935,5.95,123100.0,731742.0
1036,02848,TR韩国,843.0,-0.8,-0.09,847.8,854.0,843.0,843.8,200.0,169370.0
1037,04701,机管局 二六零八,101.3,-0.1,-0.1,101.35,101.4,101.3,101.4,8500.0,861400.0
1038,03311,中国建筑国际,10.02,-0.01,-0.1,10.0,10.12,9.96,10.03,3241492.0,32491693.0
1039,00546,阜丰集团,9.15,-0.01,-0.11,9.08,9.31,9.08,9.16,4815690.0,44350837.0
1040,09997,康基医疗,8.97,-0.01,-0.11,8.96,9.05,8.96,8.98,14136500.0,127100625.0
1041,06657,百望股份,16.76,-0.02,-0.12,16.76,16.76,16.76,16.78,200.0,3352.0
1042,00220,统一企业中国,8.6,-0.01,-0.12,8.58,8.8,8.53,8.61,9086870.0,78988130.0
1043,00011,恒生银行,152.0,-0.2,-0.13,152.4,152.4,151.6,152.2,3060001.0,464613456.0
1044,09676,十月稻田,7.77,-0.01,-0.13,7.8,7.95,7.69,7.78,745800.0,5849985.0
1045,02386,中石化炼化工程,6.97,-0.01,-0.14,7.03,7.03,6.89,6.98,4063825.0,28272052.0
1046,80011,恒生银行-R,139.2,-0.2,-0.14,139.4,139.4,139.0,139.4,2700.0,375910.0
1047,03328,交通银行,6.7,-0.01,-0.15,6.71,6.8,6.67,6.71,42499490.0,285380976.0
1048,03150,GX日本全球领导,76.24,-0.12,-0.16,76.6,76.6,76.24,76.36,100.0,7660.0
1049,02499,佛朗斯股份,5.76,-0.01,-0.17,5.76,5.77,5.72,5.77,89200.0,513324.0
1050,03075,GX亚洲美债,59.0,-0.1,-0.17,59.1,59.1,59.0,59.1,400.0,23625.0
1051,00087,太古股份公司B,11.7,-0.02,-0.17,11.7,11.7,11.52,11.72,2110051.0,24480115.0
1052,03451,AGX纳指兑,78.2,-0.14,-0.18,78.34,78.34,78.2,78.34,550.0,43087.0
1053,01318,毛戈平,106.8,-0.2,-0.19,106.9,111.9,103.4,107.0,1480234.0,159466202.0
1054,00598,中国外运,5.21,-0.01,-0.19,5.26,5.28,5.15,5.22,10549200.0,54928128.0
1055,01972,太古地产,21.46,-0.04,-0.19,21.36,21.74,21.24,21.5,2591134.0,55683068.0
1056,00052,大快活集团,5.19,-0.01,-0.19,5.16,5.19,5.13,5.2,41500.0,214170.0
1057,06919,人瑞人才,4.99,-0.01,-0.2,5.0,5.0,4.99,5.0,0.0,
1058,09451,AGX纳指兑-U,10.08,-0.02,-0.2,10.08,10.08,10.08,10.1,0.0,
1059,01044,恒安国际,27.48,-0.06,-0.22,27.56,28.04,27.38,27.54,5090387.0,141156672.0
1060,01052,越秀交通基建,4.42,-0.01,-0.23,4.43,4.48,4.39,4.43,1179165.0,5221412.0
1061,01055,中国南方航空股份,4.39,-0.01,-0.23,4.4,4.52,4.36,4.4,30563000.0,136027380.0
1062,01071,华电国际电力股份,4.36,-0.01,-0.23,4.38,4.46,4.31,4.37,13000530.0,56900439.0
1063,06669,先瑞达医疗-B,12.76,-0.03,-0.23,12.84,13.14,12.52,12.79,527000.0,6805610.0
1064,02409,洲际船务,4.22,-0.01,-0.24,4.23,4.23,4.22,4.23,0.0,
1065,02355,宝业集团,4.06,-0.01,-0.25,4.07,4.07,4.06,4.07,50000.0,203180.0
1066,01497,燕之屋,8.02,-0.02,-0.25,7.88,8.05,7.88,8.04,17600.0,140272.0
1067,03709,赢家时尚,7.9,-0.02,-0.25,7.95,7.95,7.72,7.92,879000.0,6879325.0
1068,02948,ALCO HOLD-OLD,3.39,-0.01,-0.29,3.6,3.6,3.38,3.4,26400.0,93780.0
1069,02179,瑞科生物-B,6.68,-0.02,-0.3,6.46,6.68,6.22,6.7,5500.0,35890.0
1070,02270,德商产投服务,3.2,-0.01,-0.31,3.21,3.32,3.2,3.21,26000.0,85000.0
1071,82830,南方沙特-R,75.88,-0.24,-0.32,75.88,75.88,75.88,76.12,0.0,
1072,00753,中国国航,5.88,-0.02,-0.34,5.9,6.02,5.82,5.9,34270354.0,202714175.0
1073,00728,中国电信,5.73,-0.02,-0.35,5.75,5.77,5.66,5.75,83046075.0,475593184.0
1074,09677,威海银行,2.87,-0.01,-0.35,2.88,2.88,2.83,2.88,3000.0,8580.0
1075,00816,金茂服务,2.76,-0.01,-0.36,2.81,2.81,2.74,2.77,1536428.0,4258028.0
1076,03064,GX亚太,63.1,-0.24,-0.38,63.34,63.34,63.1,63.34,0.0,
1077,00019,太古股份公司A,64.15,-0.25,-0.39,63.8,64.4,63.8,64.4,1068360.0,68499292.0
1078,00576,浙江沪杭甬,7.62,-0.03,-0.39,7.67,7.67,7.55,7.65,6706266.0,51006103.0
1079,01713,四川能投发展,2.51,-0.01,-0.4,2.52,2.52,2.5,2.52,208000.0,521520.0
1080,01427,中国天保集团,0.249,-0.001,-0.4,0.265,0.265,0.23,0.25,258000.0,59880.0
1081,01883,中信国际电讯,2.42,-0.01,-0.41,2.43,2.44,2.41,2.43,5104000.0,12391670.0
1082,01459,巨匠建设,0.245,-0.001,-0.41,0.246,0.246,0.245,0.246,0.0,
1083,00798,中电光谷,0.244,-0.001,-0.41,0.245,0.245,0.243,0.245,1512000.0,369624.0
1084,01907,中国旭阳集团,2.37,-0.01,-0.42,2.38,2.4,2.34,2.38,6802000.0,16140327.0
1085,06676,找钢集团-W,2.3,-0.01,-0.43,2.32,2.32,2.12,2.31,1454500.0,3202650.0
1086,06190,九江银行,2.33,-0.01,-0.43,2.34,2.34,2.33,2.34,9800.0,22854.0
1087,03288,海天味业,32.56,-0.14,-0.43,32.72,33.02,32.4,32.7,693038.0,22639951.0
1088,03047,F山证铁矿石,23.16,-0.1,-0.43,23.16,23.16,23.16,23.26,1.0,22.0
1089,01615,奥邦建筑,0.225,-0.001,-0.44,0.225,0.225,0.225,0.226,10000.0,2250.0
1090,00012,恒基地产,27.08,-0.12,-0.44,27.2,27.26,26.9,27.2,3993636.0,107997696.0
1091,83128,恒生A股龙头-R,58.48,-0.26,-0.44,58.48,58.48,58.48,58.74,6000.0,350880.0
1092,80941,中国移动-R,78.35,-0.35,-0.44,78.8,78.9,78.35,78.7,68000.0,5345200.0
1093,00428,中国天弓控股,0.228,-0.001,-0.44,0.227,0.229,0.227,0.229,156000.0,35584.0
1094,00173,嘉华国际,2.2,-0.01,-0.45,2.24,2.24,2.16,2.21,1673000.0,3648960.0
1095,08370,智升集团控股,4.43,-0.02,-0.45,4.41,4.48,4.41,4.45,5600.0,24768.0
1096,01501,瑛泰医疗,30.86,-0.14,-0.45,30.12,30.94,30.1,31.0,34000.0,1038116.0
1097,02830,南方沙特,82.64,-0.38,-0.46,82.98,82.98,82.58,83.02,2080.0,172026.0
1098,09047,F山证铁矿石-U,2.986,-0.014,-0.47,3.0,3.0,2.974,3.0,0.0,
1099,00941,中国移动,85.3,-0.4,-0.47,85.7,86.15,85.3,85.7,17802183.0,1525582240.0
1100,02313,申洲国际,63.25,-0.3,-0.47,63.95,64.55,62.85,63.55,9405984.0,598838672.0
1101,00158,万邦投资,63.0,-0.3,-0.47,63.0,63.0,63.0,63.3,1000.0,63000.0
1102,03988,中国银行,4.28,-0.02,-0.47,4.3,4.34,4.25,4.3,218990663.0,938869200.0
1103,02385,读书郎,6.21,-0.03,-0.48,6.24,6.3,6.15,6.24,189600.0,1185776.0
1104,02360,优品360,2.09,-0.01,-0.48,2.09,2.11,2.09,2.1,416000.0,873060.0
1105,02778,冠君产业信托,2.06,-0.01,-0.48,2.09,2.09,2.04,2.07,1374000.0,2835048.0
1106,01910,新秀丽,16.61,-0.08,-0.48,16.79,16.88,16.56,16.69,1616353.0,26894201.0
1107,00432,盈大地产,0.203,-0.001,-0.49,0.2,0.203,0.199,0.204,203195.0,40488.0
1108,00237,安全货仓,2.03,-0.01,-0.49,2.04,2.04,2.02,2.04,0.0,
1109,02583,西普尼,164.1,-0.8,-0.49,163.6,166.7,163.4,164.9,69800.0,11498310.0
1110,00006,电能实业,50.2,-0.25,-0.5,50.4,50.45,50.15,50.45,3517944.0,176893446.0
1111,01778,彩生活,0.198,-0.001,-0.5,0.199,0.207,0.198,0.199,744000.0,148436.0
1112,03658,新希望服务,1.98,-0.01,-0.5,1.98,1.99,1.97,1.99,202000.0,400210.0
1113,09803,PP中国基石-U,1.198,-0.006,-0.5,1.198,1.198,1.198,1.204,0.0,
1114,00110,中国长远,0.194,-0.001,-0.51,0.195,0.195,0.194,0.195,18000.0,3464.0
1115,00583,长城环亚控股,0.195,-0.001,-0.51,0.196,0.196,0.195,0.196,40000.0,7840.0
1116,01908,建发国际集团,17.4,-0.09,-0.51,17.5,17.7,17.25,17.49,4490809.0,78418004.0
1117,01361,361度,5.85,-0.03,-0.51,5.93,5.97,5.81,5.88,4745000.0,27965985.0
1118,00331,丰盛生活服务,5.73,-0.03,-0.52,5.76,5.76,5.7,5.76,93000.0,532040.0
1119,01399,锐信控股,0.192,-0.001,-0.52,0.192,0.192,0.18,0.193,12000.0,2280.0
1120,01903,JBB BUILDERS,1.89,-0.01,-0.53,1.9,1.91,1.89,1.9,108000.0,205180.0
1121,03968,招商银行,49.04,-0.26,-0.53,49.4,49.98,48.8,49.3,23466724.0,1156075552.0
1122,00900,AEON CREDIT,7.52,-0.04,-0.53,7.5,7.52,7.43,7.56,198000.0,1481540.0
1123,00720,意达利控股,0.182,-0.001,-0.55,0.183,0.183,0.182,0.183,125000.0,22850.0
1124,03441,南方东西精选,9.87,-0.055,-0.55,9.925,9.925,9.855,9.925,0.0,
1125,02340,昇柏控股,0.182,-0.001,-0.55,0.177,0.182,0.174,0.183,200000.0,35060.0
1126,03322,永嘉集团,0.182,-0.001,-0.55,0.178,0.183,0.168,0.183,182000.0,32668.0
1127,08225,中国医疗集团,0.175,-0.001,-0.57,0.175,0.175,0.175,0.176,20000.0,3500.0
1128,02531,广联科技控股,14.0,-0.08,-0.57,14.19,14.2,13.63,14.08,71500.0,1001220.0
1129,09889,东莞农商银行,3.46,-0.02,-0.57,3.48,3.48,3.43,3.48,40700.0,140749.0
1130,00868,信义玻璃,8.73,-0.05,-0.57,8.78,8.88,8.62,8.78,14956591.0,131044548.0
1131,01600,天伦燃气,3.42,-0.02,-0.58,3.42,3.46,3.36,3.44,810000.0,2768129.0
1132,02180,万宝盛华,5.16,-0.03,-0.58,5.19,5.19,5.16,5.19,0.0,
1133,02002,阳光纸业,1.7,-0.01,-0.58,1.7,1.7,1.69,1.71,34000.0,57780.0
1134,02380,中国电力,3.37,-0.02,-0.59,3.39,3.42,3.34,3.39,20794794.0,70064775.0
1135,00398,东方表行集团,3.36,-0.02,-0.59,3.38,3.39,3.36,3.38,790000.0,2665220.0
1136,00083,信和置业,10.15,-0.06,-0.59,10.21,10.21,10.06,10.21,4233803.0,42940222.0
1137,00308,香港中旅,1.66,-0.01,-0.6,1.67,1.71,1.63,1.67,46024000.0,76734670.0
1138,00339,中国科创产业投资,0.166,-0.001,-0.6,0.167,0.167,0.166,0.167,0.0,
1139,00050,香港小轮(集团),4.73,-0.03,-0.63,4.78,4.78,4.73,4.76,98000.0,464410.0
1140,00088,TAI CHEUNG HOLD,3.18,-0.02,-0.63,3.2,3.2,3.18,3.2,94000.0,299200.0
1141,09437,博时央企红利-U,1.248,-0.008,-0.64,1.248,1.248,1.248,1.256,0.0,
1142,02328,中国财险,18.66,-0.12,-0.64,18.95,19.35,18.53,18.78,39206480.0,741771232.0
1143,01221,SINO HOTELS,1.53,-0.01,-0.65,1.57,1.57,1.53,1.54,40000.0,62800.0
1144,00922,安贤园中国,0.153,-0.001,-0.65,0.155,0.155,0.153,0.154,440000.0,67850.0
1145,01963,重庆银行,7.67,-0.05,-0.65,7.76,7.77,7.63,7.72,2395388.0,18413788.0
1146,02376,鲁商服务,3.05,-0.02,-0.65,3.07,3.07,3.05,3.07,0.0,
1147,00552,中国通信服务,4.53,-0.03,-0.66,4.56,4.59,4.51,4.56,13915118.0,63260098.0
1148,01395,强泰环保,0.151,-0.001,-0.66,0.151,0.151,0.151,0.152,10000.0,1510.0
1149,01723,恒月控股,3.0,-0.02,-0.66,3.06,3.06,2.99,3.02,1390000.0,4173620.0
1150,08403,天平道合,1.49,-0.01,-0.67,1.5,1.5,1.49,1.5,0.0,
1151,02101,福禄控股,1.48,-0.01,-0.67,1.48,1.54,1.38,1.49,43500.0,64330.0
1152,00662,亚洲金融,4.39,-0.03,-0.68,4.45,4.45,4.39,4.42,4000.0,17680.0
1153,08250,都都控股,0.145,-0.001,-0.68,0.145,0.145,0.139,0.146,100000.0,14390.0
1154,00045,大酒店,5.79,-0.04,-0.69,5.8,5.83,5.76,5.83,54004.0,312738.0
1155,00001,长和,50.4,-0.35,-0.69,50.8,51.05,50.1,50.75,7072209.0,356231952.0
1156,02011,进腾集团,1.42,-0.01,-0.7,1.43,1.43,1.41,1.43,0.0,
1157,03339,中国龙工,2.85,-0.02,-0.7,2.85,2.88,2.82,2.87,18052420.0,51393513.0
1158,03187,三星高息房托,17.13,-0.12,-0.7,17.25,17.25,17.12,17.25,5400.0,92886.0
1159,02810,PP新兴东盟,68.0,-0.48,-0.7,68.84,68.84,68.0,68.48,450.0,30978.0
1160,03380,龙光集团,1.41,-0.01,-0.7,1.42,1.45,1.37,1.42,19305000.0,26833560.0
1161,01599,城建设计,1.36,-0.01,-0.73,1.36,1.38,1.35,1.37,638000.0,874960.0
1162,02508,圣贝拉,6.7,-0.05,-0.74,6.71,6.89,6.57,6.75,688000.0,4631775.0
1163,00008,电讯盈科,5.26,-0.04,-0.75,5.27,5.3,5.22,5.3,10263288.0,53847721.0
1164,03128,恒生A股龙头,63.58,-0.48,-0.75,63.6,63.6,63.56,64.06,12700.0,807550.0
1165,01147,伊登软件,0.133,-0.001,-0.75,0.132,0.137,0.13,0.134,9430000.0,1255930.0
1166,01065,天津创业环保股份,3.9,-0.03,-0.76,3.89,3.92,3.85,3.93,492000.0,1917279.0
1167,01583,亲亲食品,1.3,-0.01,-0.76,1.31,1.31,1.3,1.31,0.0,
